"","name","alphaHat","betaHat","alphaSD","betaSD","alphaCI1","alphaCI2","betaCI1","betaCI2"
"1","ABSA.length.txt",4.07258545249218,5.43724951716231,0.06265610381768,0.322292384092718,3.94977948900952,4.19539141597483,4.80555644434058,6.06894258998404
"2","ACE04.length.txt",2.65880329532348,3.02285185962405,0.0162912708115474,0.0705564052255521,2.62687240453285,2.69073418611412,2.88456130538197,3.16114241386613
"3","BBN.length.txt",4.73705967699684,5.43078955042271,0.0309755078697711,0.142564203924174,4.67634768157209,4.79777167242159,5.15136371073133,5.71021539011409
"4","BioMed.length.txt",2.84040135880575,2.17366595260136,0.00553899761565024,0.0152299885350672,2.82954492347907,2.85125779413242,2.14381517507263,2.20351673013009
"5","COVID19.txt",3.68021657843959,1.93794678569262,0.00235587712550956,0.00439961037854143,3.67559905927359,3.68483409760559,1.92932354935068,1.94657002203457
"6","CoNLL03.length.txt",5.83016380814445,29.4788812742671,0.047225957610312,1.13411810700715,5.73760093122824,5.92272668506066,27.2560097845331,31.7017527640011
"7","LitBank.length.txt",3.4351921584883,14.980268369577,0.0253874859491643,0.501901847849168,3.38543268602794,3.48495163094866,13.9965407477926,15.9639959913613
"8","OntoNotes5.txt",3.71216628150472,3.12358412884465,0.0215449268393386,0.0662522129349391,3.66993822489962,3.75439433810982,2.99372979149216,3.25343846619713
"9","Re3d.length.txt",3.26372778053615,8.7922190289818,0.0527460106830423,0.613573210013032,3.16034559959739,3.36710996147491,7.58961553735626,9.99482252060734
"10","TimeExp.length.txt",4.19376188600288,14.1511504062286,0.0339922418112598,0.494521810053002,4.12713709205281,4.26038667995295,13.1818876585247,15.1204131539325
"11","Twitter.length.txt",4.19501281694419,5.21239824596216,0.0484094310993629,0.232126200082942,4.10013033198944,4.28989530189894,4.7574308937996,5.66736559812473
"12","WikiAnchor.length.txt",4.21328030906899,23.0151175445298,0.00246502899435912,0.0630795128752888,4.20844885224005,4.21811176589794,22.8914816992943,23.1387533897654
